Month,Year,Medicine Name,Category,Dosage (mg/ml),Hospital Name,City,Supplier Name,Price per Unit (AED),Consumption (Units)
11,2023,0,1,10,1,1,1,17.27,2642
10,2023,4,1,1000,0,3,2,36.95,3663
4,2023,3,3,10,1,2,1,23.79,3249
8,2023,0,2,10,0,1,3,22.17,4251
5,2022,1,1,10,3,1,1,32.34,2910
7,2023,1,4,500,0,4,2,22.55,3522
4,2022,0,4,5,0,0,0,29.54,3517
11,2023,0,0,1000,3,3,2,11.16,1322
3,2023,1,0,10,0,2,2,15.34,2446
10,2023,2,3,1000,2,4,3,21.76,2460
5,2022,0,1,250,0,1,0,25.09,4169
1,2023,2,3,5,2,0,1,10.79,927
4,2023,2,4,5,2,2,3,19.02,1529
10,2023,2,2,5,0,1,0,2.93,1219
10,2023,3,2,5,2,4,2,46.71,1604
12,2022,3,2,10,2,3,0,20.95,830
6,2022,4,1,5,0,3,2,43.4,490
2,2023,4,3,500,3,3,2,10.31,4283
1,2022,2,2,10,1,4,3,32.13,3737
12,2022,4,4,250,2,3,0,39.63,2446
5,2023,3,0,10,1,1,1,29.18,3826
2,2022,4,4,5,2,4,2,36.26,1307
12,2022,1,1,10,1,1,1,9.21,2962
7,2022,2,4,1000,3,2,3,12.39,1279
10,2023,1,0,500,0,1,1,9.43,4369
4,2023,4,2,5,3,0,2,35.11,4335
11,2022,4,3,500,3,1,3,25.9,3405
4,2022,3,2,250,0,2,3,5.08,4172
11,2022,3,4,10,1,0,1,25.42,3667
8,2023,1,2,10,0,3,3,45.37,2368
7,2023,1,4,5,3,3,1,8.56,624
11,2022,2,4,10,2,1,0,15.49,4467
12,2022,4,1,250,0,4,1,35.52,3149
4,2023,2,2,5,3,2,1,7.16,2477
3,2022,4,2,10,0,2,3,40.5,1725
8,2023,3,0,1000,3,2,1,23.76,370
3,2022,3,2,1000,0,1,1,12.37,1470
12,2022,3,4,500,2,2,2,35.19,904
6,2023,4,0,500,3,1,0,46.93,1677
6,2023,0,3,250,1,0,0,37.11,342
3,2023,1,0,500,2,4,0,40.54,4175
8,2023,2,2,500,1,1,3,32.31,507
5,2022,3,0,10,0,3,0,8.87,4432
6,2022,1,4,10,0,1,0,14.95,1479
4,2022,3,0,1000,0,4,2,27.59,143
12,2022,1,2,1000,1,2,0,42.51,2210
11,2022,2,1,10,3,0,1,34.26,615
5,2022,2,2,250,3,2,0,19.81,4361
3,2022,3,0,1000,3,3,1,7.89,3651
3,2023,3,1,1000,1,2,1,17.64,1988
1,2023,2,0,5,0,3,1,15.62,3468
8,2023,0,3,250,3,2,1,12.1,238
5,2022,1,2,1000,0,0,3,38.61,1213
5,2023,2,1,10,1,0,3,8.43,354
7,2022,3,2,1000,0,4,3,24.51,540
12,2023,1,2,10,2,4,3,8.9,2758
1,2022,3,1,250,3,3,3,48.4,3945
8,2023,0,0,500,0,2,1,14.15,3144
10,2022,2,0,1000,1,2,1,47.57,3915
8,2023,0,1,250,3,1,1,48.23,885
10,2022,2,4,500,0,2,0,18.92,4197
1,2023,1,2,10,3,2,3,27.19,1773
8,2023,3,1,1000,1,3,3,27.26,383
8,2023,4,2,250,1,1,2,42.92,1431
4,2022,0,0,1000,0,1,3,7.57,3357
9,2022,0,3,1000,0,1,0,24.37,3613
4,2023,1,1,1000,0,1,3,46.69,442
7,2022,2,0,1000,0,0,1,5.37,2814
5,2023,4,4,1000,1,1,1,30.41,4449
8,2023,2,0,10,1,3,2,31.67,1727
4,2022,0,1,250,2,4,3,43.67,890
10,2023,1,0,5,0,2,3,49.37,3340
9,2023,3,0,1000,1,2,1,19.29,1357
11,2023,4,1,1000,3,4,1,20.47,2463
3,2022,2,2,500,1,4,3,1.5,3031
7,2023,2,2,250,2,4,3,37.6,1281
12,2022,3,2,1000,0,4,3,46.37,2362
7,2023,0,3,5,2,1,2,11.36,1653
7,2022,3,3,250,0,0,1,13.26,218
1,2022,1,4,1000,1,1,3,22.16,3875
10,2023,2,0,1000,1,3,0,32.08,1707
9,2022,2,3,500,2,2,1,4.91,1883
10,2022,3,4,500,0,4,3,6.07,2824
1,2022,0,2,5,3,4,2,49.0,1250
9,2022,0,4,500,3,1,0,23.4,2582
11,2023,4,3,1000,3,3,1,36.76,673
5,2023,4,4,250,0,1,3,31.47,2906
2,2022,2,4,5,0,2,3,5.06,2742
5,2022,1,2,500,1,4,2,14.19,2671
6,2023,1,0,250,0,1,3,38.81,3976
12,2023,0,3,5,0,1,0,35.91,1872
4,2022,3,1,5,2,1,3,37.45,2146
1,2022,3,1,10,0,3,1,22.57,3085
3,2023,1,4,250,0,4,0,13.71,566
2,2023,3,1,5,3,2,2,10.73,368
8,2022,2,0,5,2,4,2,16.03,1420
2,2023,0,2,500,3,1,2,14.86,2216
3,2023,4,2,1000,1,3,2,21.46,3026
10,2023,4,1,500,2,3,1,28.66,966
11,2022,3,3,10,3,2,1,13.75,3113
9,2023,2,2,5,0,4,2,25.38,842
9,2023,4,3,250,0,1,3,45.54,2421
1,2023,0,3,5,3,4,1,44.76,809
3,2023,1,4,500,0,4,1,29.5,4184
12,2022,1,1,10,0,3,2,25.15,3765
4,2022,0,0,500,1,3,0,48.61,2206
4,2022,3,3,500,0,0,3,4.33,2149
12,2022,0,4,500,0,4,0,44.32,1400
7,2022,0,0,500,0,2,1,19.52,2023
6,2023,2,0,1000,2,4,3,22.72,2062
1,2023,0,1,10,0,1,0,3.22,3538
3,2022,1,2,250,0,3,0,4.33,4347
4,2023,2,1,10,3,1,1,1.56,924
11,2022,0,2,250,1,0,3,16.85,728
3,2023,4,0,500,1,2,0,20.44,641
7,2023,4,3,500,1,1,3,47.86,2638
7,2023,2,0,250,1,1,3,13.76,369
11,2022,1,2,10,2,3,0,47.34,3782
3,2023,2,2,5,3,3,0,32.7,2128
12,2022,2,0,1000,3,0,3,34.63,2721
7,2023,3,2,250,3,1,2,16.45,1353
7,2023,2,2,5,3,1,2,10.98,1720
9,2022,0,1,5,3,1,0,20.97,4113
11,2022,0,4,500,2,0,2,13.09,4169
7,2022,2,3,5,0,1,2,18.08,3716
7,2023,1,1,500,1,0,2,2.39,4380
8,2023,4,3,250,0,1,2,35.38,2196
4,2023,0,1,1000,0,1,0,36.43,4105
10,2023,4,4,10,0,0,0,25.02,3446
5,2022,0,3,1000,3,3,0,25.23,3390
3,2023,4,4,250,2,3,1,30.89,2206
11,2022,3,2,10,3,1,2,40.49,3039
1,2022,0,0,250,0,4,3,31.72,2890
11,2023,4,0,500,3,0,1,6.63,2454
8,2023,0,2,1000,3,4,2,28.86,1807
2,2023,4,1,250,0,2,1,32.55,2225
1,2023,3,4,5,3,0,1,11.13,1258
10,2023,0,2,5,3,0,2,14.3,3379
3,2023,3,1,500,3,0,2,9.16,482
10,2022,1,4,5,3,3,0,24.03,3351
10,2022,1,0,10,1,2,1,39.54,3764
3,2022,0,3,10,3,1,2,31.22,2182
12,2022,3,4,10,2,2,3,31.29,528
10,2022,2,2,250,0,2,0,49.51,884
10,2022,3,1,1000,3,1,1,1.97,1814
11,2023,4,4,250,3,3,1,43.59,941
8,2022,0,0,500,1,4,2,15.64,2207
1,2022,0,0,10,1,1,0,10.42,2563
9,2022,1,2,10,0,0,0,45.47,2896
12,2022,3,2,250,1,4,1,20.0,3582
5,2023,4,1,500,0,1,3,44.94,2541
6,2022,2,3,250,3,2,3,23.37,155
1,2023,2,0,10,1,2,2,34.91,829
7,2023,2,0,500,2,4,1,48.14,1135
3,2023,3,4,1000,3,0,0,11.48,3539
10,2022,3,1,250,1,4,0,1.55,4213
3,2022,0,2,1000,2,4,1,48.15,4261
5,2022,1,0,500,2,4,1,12.56,267
10,2023,2,2,250,3,2,0,15.58,2892
2,2022,3,3,1000,0,2,1,41.85,3746
2,2023,4,2,250,3,3,2,16.63,3714
3,2022,1,2,250,0,4,0,26.6,2194
10,2022,1,1,5,1,1,2,9.97,3905
12,2023,4,0,1000,2,2,0,23.41,2226
7,2022,0,0,10,0,2,3,8.34,1350
12,2022,0,0,10,3,3,3,37.18,2973
4,2022,4,3,10,0,4,1,8.53,3263
1,2023,1,1,500,3,1,3,30.85,3407
11,2022,3,0,5,1,0,0,10.46,856
6,2023,4,3,500,1,4,0,5.07,2674
9,2022,0,0,10,0,0,2,29.05,532
11,2022,3,2,500,2,0,0,13.35,1414
8,2022,1,0,250,3,0,3,38.96,811
6,2022,3,0,1000,2,0,2,2.02,634
12,2022,4,4,5,0,3,3,22.3,4101
10,2023,0,0,500,2,4,3,40.26,729
7,2023,0,4,5,2,4,2,15.14,376
9,2023,4,1,10,0,2,1,24.32,2272
11,2022,4,4,10,0,1,3,2.29,3219
2,2023,1,2,1000,2,1,1,28.91,4476
2,2023,1,4,250,1,3,0,29.05,1759
8,2022,3,1,1000,2,1,3,43.38,1045
2,2023,1,1,10,3,0,0,5.6,1205
5,2022,0,1,1000,2,0,2,3.73,2061
7,2023,4,0,500,1,3,3,40.73,1673
5,2023,0,2,250,1,4,1,9.18,2389
5,2022,2,3,5,0,4,0,16.59,1680
8,2022,4,3,250,1,1,3,28.18,1036
11,2022,0,2,5,2,4,0,37.41,2753
7,2023,3,1,1000,0,0,3,24.01,1129
9,2023,1,1,5,2,0,1,27.11,1836
3,2022,2,4,5,1,0,0,38.38,2574
9,2022,2,2,1000,3,0,3,11.93,563
5,2022,3,3,1000,3,2,2,43.97,4003
6,2023,0,1,500,2,2,0,11.49,3416
12,2022,3,0,250,2,1,1,4.51,2396
12,2022,0,1,1000,0,1,2,11.55,1006
7,2023,0,2,250,0,3,2,27.86,3376
2,2023,1,1,1000,1,4,1,46.58,1361
1,2022,1,1,500,1,1,3,7.61,1517
4,2023,3,2,5,3,0,1,30.11,1030
3,2022,2,2,250,3,0,0,45.07,985
6,2022,3,0,1000,2,1,2,46.8,789
12,2022,2,3,250,0,3,0,11.8,4258
12,2022,4,0,10,2,3,0,16.72,1658
1,2023,1,0,5,0,4,3,33.3,2954
5,2023,3,2,250,0,3,0,47.81,2244
2,2023,2,4,250,2,2,3,29.76,1252
8,2023,4,1,500,2,4,0,45.97,1597
6,2022,2,1,1000,2,2,2,45.31,4212
3,2022,4,2,10,1,3,3,32.97,528
11,2023,4,4,250,0,0,2,29.39,1514
5,2022,3,0,250,3,0,1,36.83,957
2,2023,4,4,5,2,4,2,14.04,3442
10,2022,4,2,500,0,4,2,47.57,2243
4,2022,4,3,1000,1,3,0,9.6,2683
3,2023,0,1,5,1,4,0,2.23,4476
6,2023,4,1,10,1,4,3,38.12,1494
8,2023,1,1,1000,2,3,3,43.19,2500
7,2023,2,4,250,2,1,2,10.38,703
11,2023,1,3,250,2,2,3,32.06,3096
7,2022,0,3,5,3,3,1,44.54,3972
2,2023,3,4,5,3,1,2,9.26,1593
4,2023,4,0,10,1,2,3,25.04,4377
4,2023,1,0,250,2,2,0,2.41,519
10,2023,2,0,1000,3,0,0,31.11,4144
5,2022,2,4,500,0,2,2,22.55,3471
1,2023,3,2,10,0,2,3,12.23,2947
2,2023,1,1,500,3,0,3,45.88,1664
10,2022,1,0,5,1,4,1,48.54,1585
1,2024,2,0,10,2,4,3,23.15,4223
7,2022,3,1,5,3,1,3,14.18,2228
4,2022,0,0,250,3,1,2,14.21,4297
5,2023,2,2,5,2,1,0,38.33,3748
12,2023,2,1,10,1,0,2,49.95,2204
5,2022,1,3,5,1,0,3,47.78,1991
9,2022,2,2,250,1,1,0,21.06,1458
3,2023,1,4,250,2,1,0,36.71,3995
7,2022,3,0,1000,1,0,1,14.48,3963
3,2022,0,4,10,0,1,2,39.47,233
12,2023,2,4,5,3,2,1,7.43,3200
7,2023,2,0,250,1,0,0,24.31,4291
11,2023,1,4,5,0,2,2,30.43,1141
1,2022,0,4,10,1,4,0,8.37,2758
3,2023,2,3,5,1,0,0,43.47,1658
5,2023,1,2,500,2,3,2,23.73,2775
1,2022,4,2,250,2,3,2,31.5,4329
5,2022,2,0,5,0,4,3,5.86,275
6,2023,3,3,10,0,4,0,42.58,3391
6,2023,4,3,10,3,4,2,45.46,855
11,2023,4,1,250,0,3,0,33.49,3169
1,2022,2,3,10,1,3,1,25.82,1866
10,2023,4,1,5,2,0,3,19.59,2544
4,2022,3,2,1000,1,0,3,3.93,3910
12,2022,1,0,5,3,0,3,4.85,960
3,2022,1,1,500,1,0,2,36.43,4096
5,2022,1,1,500,3,0,3,36.27,130
1,2023,4,1,1000,0,0,1,35.58,445
11,2023,4,0,250,2,1,2,13.09,4326
11,2022,0,1,5,2,4,1,30.38,2616
8,2022,3,2,1000,2,4,3,18.36,2990
10,2022,1,3,500,1,2,3,48.75,3943
7,2023,0,1,500,2,3,0,34.23,3667
2,2022,1,3,10,1,1,0,21.97,1613
6,2023,4,1,250,3,0,1,26.18,3848
9,2022,2,4,1000,0,0,3,35.17,1926
3,2022,3,2,10,1,0,3,6.59,1474
5,2022,1,1,5,1,3,1,28.21,3020
7,2022,0,2,10,0,3,0,31.69,2187
4,2023,1,2,5,0,4,1,9.95,943
11,2022,0,4,500,2,4,2,32.57,565
1,2022,4,0,10,3,2,0,33.88,2706
2,2023,2,2,5,3,3,1,42.96,440
10,2023,0,4,10,1,1,3,3.95,696
1,2023,4,2,500,2,0,1,13.95,3964
3,2023,4,0,250,1,4,0,25.29,1931
3,2023,3,1,1000,0,0,2,12.3,4364
9,2023,2,4,500,0,0,0,9.45,2216
3,2023,3,1,10,2,3,2,40.72,2593
1,2023,1,1,250,0,2,3,3.0,2904
5,2023,2,0,10,0,2,0,21.79,4299
3,2022,0,4,500,1,0,1,37.83,1983
2,2022,0,2,10,2,4,1,45.81,894
12,2022,4,3,5,0,3,0,21.52,779
1,2023,2,2,500,0,2,3,23.47,2502
1,2022,0,3,250,3,0,1,21.08,3979
10,2022,2,1,10,1,4,1,20.93,4154
12,2022,4,0,1000,0,4,2,33.59,208
2,2022,1,4,5,2,0,1,21.05,2370
6,2023,4,3,5,1,3,1,2.75,1369
4,2023,1,1,250,0,0,0,41.66,2883
5,2023,4,3,10,3,4,2,12.39,1685
6,2023,4,0,250,3,2,0,18.28,2362
5,2023,4,0,10,1,3,1,48.64,301
4,2023,4,3,500,2,3,2,35.94,4204
10,2023,3,3,500,2,3,2,9.7,2323
4,2023,1,3,500,1,3,0,2.06,1538
1,2022,3,0,1000,3,1,2,9.42,1653
10,2022,0,1,10,2,4,2,13.37,2645
9,2023,0,0,1000,3,1,2,34.58,3662
1,2023,0,1,10,0,0,0,14.19,2020
2,2023,1,3,250,0,3,0,42.0,2931
10,2022,1,2,10,3,4,3,13.34,90
1,2022,1,1,1000,2,4,1,19.98,865
1,2023,4,4,10,3,2,0,24.26,938
7,2022,3,2,250,2,1,0,20.67,3572
1,2023,0,0,5,3,2,2,11.27,342
3,2023,3,1,10,2,3,1,36.33,3834
3,2023,3,0,10,3,4,1,23.21,1426
9,2022,4,1,10,0,1,1,3.53,3932
11,2022,3,4,10,2,3,0,9.53,1882
6,2022,2,2,10,1,3,2,39.36,2534
6,2023,2,4,500,3,1,3,25.28,4247
9,2023,3,3,500,0,0,3,17.57,2391
1,2023,3,1,10,1,0,0,43.37,2483
9,2023,0,1,250,2,2,2,17.22,1238
7,2023,3,2,500,2,2,2,23.74,2920
2,2023,0,0,5,3,4,2,49.25,791
4,2022,4,1,250,3,3,1,2.37,4309
9,2022,0,1,5,3,3,2,42.52,4418
7,2022,4,1,5,0,0,0,28.36,4427
1,2023,2,4,1000,1,3,3,1.66,967
3,2022,2,4,1000,1,1,1,40.88,3515
5,2022,2,1,5,1,4,3,49.18,458
1,2024,1,3,1000,3,3,3,21.11,3564
1,2022,1,3,1000,3,4,1,23.66,2634
4,2022,3,4,500,0,2,0,12.4,2197
3,2023,2,2,250,1,2,0,34.14,476
11,2022,0,4,500,2,3,1,23.73,2206
4,2022,4,0,500,3,1,2,15.7,1564
5,2023,0,3,250,1,2,2,16.74,4346
9,2022,1,2,10,1,0,0,25.48,4288
3,2023,2,0,500,3,2,3,12.42,2517
9,2023,4,2,500,0,2,2,23.09,1992
10,2023,0,1,10,2,0,0,19.2,1242
12,2023,4,0,5,1,3,2,6.25,2755
8,2022,0,2,10,2,1,1,37.47,2099
10,2022,0,4,250,3,0,2,24.16,78
4,2022,4,0,5,1,2,1,19.26,2749
2,2022,2,2,500,1,3,0,44.0,4229
11,2023,0,0,1000,1,2,1,10.35,3555
1,2023,2,0,1000,1,1,2,43.79,2391
4,2022,0,2,10,0,2,1,5.05,3673
10,2023,0,0,250,2,3,0,27.98,3010
6,2022,2,1,1000,1,2,2,21.48,1716
3,2022,3,4,10,3,4,1,14.85,3322
12,2023,3,4,250,2,2,2,33.23,3153
6,2022,4,2,10,3,1,1,48.39,2960
3,2023,1,1,250,2,2,2,25.13,3853
7,2022,1,4,10,0,0,3,42.87,2105
6,2023,4,1,5,2,1,1,25.98,3729
4,2023,0,2,1000,3,3,1,39.69,3566
8,2023,0,1,10,1,2,3,19.42,608
5,2023,2,4,500,3,1,2,48.05,3477
3,2022,3,2,250,3,2,1,47.85,370
11,2022,4,3,1000,1,2,0,6.74,4223
5,2023,4,2,1000,1,3,2,18.63,53
9,2023,3,0,10,2,4,3,20.39,3967
7,2022,4,3,10,3,2,1,40.93,4005
5,2023,3,2,500,1,1,1,7.8,3497
11,2023,2,1,1000,0,0,0,35.85,3430
3,2023,3,3,10,3,0,0,41.88,411
3,2023,1,1,1000,0,3,0,48.67,3555
5,2023,3,2,250,3,3,2,42.45,3044
4,2022,2,4,250,2,0,0,49.48,1349
3,2023,0,0,1000,0,1,3,20.68,2345
10,2023,2,1,10,0,2,1,5.58,2105
1,2023,1,0,500,3,3,3,26.44,2471
11,2023,0,1,1000,3,3,2,4.24,2214
4,2023,2,1,500,0,2,2,8.8,1505
10,2023,1,4,10,1,1,3,9.37,389
12,2022,4,2,250,0,4,3,32.37,3110
7,2023,0,3,500,0,1,3,33.18,4492
6,2022,4,0,10,1,0,0,10.58,3171
10,2022,0,4,5,3,1,3,30.21,760
5,2023,0,0,5,0,4,0,41.63,3049
9,2023,2,1,500,2,1,1,23.06,983
11,2022,0,4,250,2,1,3,21.64,2359
7,2022,0,3,10,3,2,3,48.93,537
5,2022,3,2,10,0,2,0,7.83,648
9,2022,0,1,250,0,2,2,49.15,383
5,2023,1,0,500,3,1,3,4.02,1199
7,2022,3,1,10,3,3,3,11.49,3449
4,2023,3,1,1000,2,2,3,18.91,4364
4,2023,3,1,5,0,1,0,12.03,742
8,2023,4,2,5,0,1,2,47.94,980
5,2023,4,2,5,3,4,3,37.44,2844
10,2023,3,3,500,2,4,2,13.07,1574
10,2023,2,1,500,0,2,3,41.33,1404
1,2022,4,3,5,1,0,0,47.42,4115
10,2022,4,2,10,1,4,0,39.21,2843
2,2022,2,3,1000,3,4,2,22.38,2887
1,2022,0,3,1000,2,0,0,12.13,4176
12,2022,0,3,5,1,3,0,12.89,981
5,2022,2,0,5,3,2,1,29.82,2476
1,2022,3,0,5,2,0,0,28.16,3490
11,2023,4,4,250,0,4,3,21.76,1295
8,2022,2,1,10,3,0,0,46.2,911
10,2022,0,4,5,0,4,1,49.06,2919
8,2023,4,4,10,2,4,1,8.5,2777
11,2023,3,0,250,3,2,2,34.06,2656
6,2022,0,1,500,0,4,1,45.74,1928
4,2022,2,2,500,2,4,3,46.88,3450
2,2023,3,4,5,0,3,2,31.91,3363
10,2023,4,3,1000,3,4,0,27.89,3294
9,2022,0,4,250,1,0,2,47.46,3964
1,2023,4,4,1000,2,1,0,20.77,2586
2,2022,1,1,1000,3,1,3,23.11,265
4,2022,4,1,1000,3,3,0,2.05,3808
7,2022,0,2,500,2,0,0,27.04,3134
11,2022,0,2,10,0,3,0,16.02,1864
10,2023,1,1,250,2,4,3,40.87,589
3,2023,4,3,5,1,3,0,41.63,2631
6,2023,2,0,1000,2,2,0,21.22,1662
11,2023,1,3,1000,3,3,2,36.86,2177
12,2023,1,4,500,0,2,0,13.08,772
9,2023,2,3,10,3,3,1,22.46,3162
5,2022,0,3,5,1,0,1,47.0,4070
2,2022,1,4,5,3,2,0,20.91,302
1,2022,0,0,1000,0,0,0,20.98,2274
8,2022,2,3,10,1,3,3,16.76,3310
12,2022,3,1,1000,2,3,2,7.84,525
10,2023,4,1,500,2,3,1,18.6,1160
1,2022,3,1,5,0,4,1,16.11,3615
8,2023,2,0,10,3,1,2,18.9,4011
10,2023,4,4,1000,2,2,3,42.35,1192
6,2023,3,1,5,2,3,0,43.98,2428
8,2022,3,0,250,2,4,3,27.36,3228
5,2023,3,2,5,1,2,2,40.83,95
2,2022,4,4,10,1,4,0,6.37,521
5,2023,2,4,250,1,3,1,25.43,2573
12,2023,0,3,250,3,1,1,19.01,806
7,2022,2,2,5,0,1,2,48.67,82
8,2022,0,2,10,3,2,0,13.98,3456
4,2023,4,0,10,3,3,1,5.06,894
9,2022,4,4,1000,0,1,3,8.59,3829
5,2022,4,4,5,3,0,2,9.57,703
7,2022,3,0,500,1,1,3,5.22,2337
7,2023,1,1,500,3,3,2,14.67,2206
5,2022,4,1,5,2,4,3,24.42,2001
10,2022,2,2,5,1,3,1,34.91,2775
3,2023,2,4,5,3,1,2,25.5,2064
3,2022,0,2,500,3,0,3,1.52,395
9,2022,4,1,10,2,2,3,20.75,612
9,2022,3,4,500,2,2,0,9.25,3408
12,2022,2,2,1000,0,3,3,18.29,2277
1,2022,3,1,10,0,3,0,13.59,2482
5,2023,4,3,500,3,1,3,34.65,1084
7,2023,1,4,1000,1,4,3,29.12,4070
7,2023,1,4,5,2,4,0,38.47,762
8,2023,3,0,10,0,0,0,33.95,2457
9,2023,3,3,500,2,1,3,38.57,3141
10,2022,1,4,250,3,4,2,17.56,429
12,2023,3,4,5,2,3,2,5.03,3586
9,2022,0,4,1000,2,4,0,15.21,659
2,2023,4,1,10,1,1,1,41.92,3143
2,2022,4,3,5,1,4,2,35.15,4096
4,2022,0,3,1000,1,0,1,14.98,4129
7,2023,2,3,5,1,1,1,35.33,3812
4,2023,4,3,500,3,2,3,8.54,1924
7,2023,1,2,250,3,1,3,41.0,3400
4,2022,1,3,250,2,1,1,22.42,1095
10,2022,4,0,10,0,3,1,3.44,3392
7,2023,1,2,1000,3,2,0,33.75,4469
3,2023,0,3,250,1,3,1,17.72,2751
6,2022,3,3,10,3,4,2,38.15,4094
8,2022,2,3,1000,1,1,3,24.36,245
12,2022,4,3,1000,0,1,0,43.72,3862
3,2022,0,2,500,1,4,0,26.05,2445
10,2023,1,0,5,3,2,3,45.62,2731
2,2022,3,4,250,0,3,1,28.56,2952
5,2022,3,4,10,2,4,2,2.15,319
11,2023,1,2,10,1,4,3,2.92,2164
2,2022,3,4,10,2,2,2,39.7,188
9,2022,2,1,10,1,2,0,34.26,909
2,2023,0,3,250,1,4,0,45.15,4259
12,2022,3,1,5,2,3,2,36.98,1555
9,2023,1,2,10,2,3,3,28.62,2663
1,2023,4,3,1000,2,0,2,1.03,2314
1,2023,0,3,5,2,0,1,21.4,4337
8,2022,2,4,10,0,4,3,42.47,1543
6,2023,4,3,5,3,0,2,19.5,3803
2,2023,2,2,500,2,3,0,33.35,384
10,2022,1,0,10,1,2,2,34.92,352
12,2022,4,4,1000,2,3,2,35.67,623
2,2022,0,0,10,2,0,0,31.67,910
3,2022,3,3,250,0,1,2,26.92,3198
1,2023,4,3,10,1,1,2,27.78,1785
9,2022,4,3,10,2,3,0,28.46,2070
11,2023,3,2,5,2,0,0,14.98,2837
10,2023,3,1,500,3,0,2,43.74,208
5,2023,3,4,5,1,3,0,3.97,1702
8,2022,2,3,1000,1,4,1,18.97,1822
4,2022,0,4,10,2,0,1,24.9,3987
1,2023,2,2,5,3,3,0,29.93,350
8,2022,0,1,5,3,4,2,35.06,620
1,2023,0,4,5,3,3,1,48.17,1718
11,2022,1,2,10,2,1,3,8.08,4236
11,2022,1,1,10,2,3,1,6.28,3509
3,2023,0,4,500,1,3,0,38.13,2320
8,2023,2,0,500,3,0,3,37.87,1542
6,2023,4,2,10,1,3,2,36.12,3119
11,2022,3,1,250,2,2,0,15.12,682
2,2022,3,2,5,3,2,3,44.26,695
1,2022,0,4,250,1,4,0,48.34,3774
6,2022,2,4,5,2,2,0,23.25,4346
7,2023,4,2,1000,0,0,0,16.15,4212
8,2022,2,2,10,2,2,1,24.79,2806
11,2023,0,0,250,3,0,3,42.26,3024
11,2022,2,3,5,3,2,3,22.05,2776
3,2022,1,4,5,1,2,3,1.26,2862
4,2023,3,1,500,1,1,1,45.65,203
7,2022,0,3,500,3,0,3,33.47,1426
5,2023,1,2,10,3,1,2,6.7,3968
4,2022,1,2,500,1,1,1,44.73,948
1,2022,2,0,250,2,1,2,6.86,3952
3,2022,2,1,250,2,0,2,45.15,1226
2,2023,2,2,10,2,4,2,19.55,4482
3,2023,1,3,250,0,4,0,4.51,1313
12,2022,1,3,1000,3,2,1,22.79,365
